verse	id	confidence	placement	method	text
Gen.1.6	Gen.1.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O un dosel, o un firmamento, o una bóveda; también en los versículos 7, 8, 14, 15, 17 y 20
Gen.1.26	Gen.1.26-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	TM; Siríaco y sobre todas las bestias de la tierra
Gen.2.6	Gen.2.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O niebla
Gen.2.21	Gen.2.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O tomó parte del costado del hombre; similarmente en el versículo 22
Gen.3.8	Gen.3.8-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O en el momento de la brisa (del día); hebreo hacia el Ruach
Gen.3.20	Gen.3.20-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Eva suena como el hebreo para dar vida o viviente.
Gen.4.7	Gen.4.7-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	O ella desea controlarte
Gen.4.13	Gen.4.13-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O culpa o pecado
Gen.4.15	Gen.4.15-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	LXX, Vulgata y Siríaco; hebreo “¡Muy bien!” o “Por tanto:”
Gen.4.16	Gen.4.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Nod significa errante.
Gen.4.25	Gen.4.25-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Set probablemente significa concedido o designado.
Gen.4.26	Gen.4.26-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	O proclamar; algunos traductores invocar o llamarse a sí mismos por o profanar
Gen.5.2	Gen.5.2-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	Citado en Mateo 19:4 y Marcos 10:6
Gen.5.22	Gen.5.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	LXX agradó a Dios; también en el versículo 24
Gen.6.12	Gen.6.12-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente toda carne; similarmente en los versículos 13, 17 y 19
Gen.6.14	Gen.6.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Gopher es un tipo de árbol desconocido; posiblemente ciprés o cedro.
Gen.6.16	Gen.6.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O tragaluz o ventana
Gen.6.16	Gen.6.16-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Un codo equivale aproximadamente a 45.7 centímetros.
Gen.7.2	Gen.7.2-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	O de siete en siete; también en el versículo 3
Gen.7.15	Gen.7.15-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente de toda carne; similarmente en los versículos 16 y 21
Gen.8.8	Gen.8.8-fn1	fallback	verse_end	source_anchor_word_not_semantically_specific	Literalmente envió de él o envió de ella
Gen.9.20	Gen.9.20-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O fue el primero
Gen.10.7	Gen.10.7-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Sabtah es una variante de Sabta; véase 1 Crónicas 1:9.
Gen.10.8	Gen.10.8-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O que se estableció como un poderoso guerrero o que se convirtió en el primer líder intrépido
Gen.10.21	Gen.10.21-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O Sem, cuyo hermano mayor era Jafet
Gen.10.24	Gen.10.24-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo; LXX (véase también Lucas 3:35–36) Y Arfaxad fue padre de Cainán, y Cainán fue padre de Salá,
Gen.10.25	Gen.10.25-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Peleg significa división.
Gen.11.2	Gen.11.2-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O desde el oriente o en el oriente
Gen.11.9	Gen.11.9-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O Babilonia; la palabra hebrea para Babel suena como el hebreo para confundir.
Gen.12.6	Gen.12.6-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O el terebinto o el Gran Árbol
Gen.13.18	Gen.13.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O los terebintos o los Grandes Árboles
Gen.14.13	Gen.14.13-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O los terebintos o los Grandes Árboles
Gen.14.13	Gen.14.13-fn2	fallback	verse_end	no_high_confidence_immediate_alignment	Las formas del hebreo berit se traducen en la mayoría de los pasajes como pacto.
Gen.16.13	Gen.16.13-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo El-Roi
Gen.16.14	Gen.16.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Beer-lahai-roi significa pozo del Viviente que me ve.
Gen.18.1	Gen.18.1-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O los terebintos o los Grandes Árboles
Gen.19.38	Gen.19.38-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Ben-ammi significa hijo de mi pueblo.
Gen.20.16	Gen.20.16-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O mil siclos de plata; es decir, aproximadamente 11.4 kilogramos de plata
Gen.21.3	Gen.21.3-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Isaac significa él se ríe.
Gen.21.31	Gen.21.31-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Beerseba significa pozo de siete o pozo del juramento.
Gen.22.14	Gen.22.14-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Hebreo YHWH Yireh
Gen.22.17	Gen.22.17-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en Hebreos 6:14
Gen.22.18	Gen.22.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Citado en Hechos 3:25
Gen.24.22	Gen.24.22-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Un beka es medio siclo, aproximadamente 5.7 gramos.
Gen.25.18	Gen.25.18-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O Asiria
Gen.26.20	Gen.26.20-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Esek significa contienda.
Gen.26.33	Gen.26.33-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Sibah puede significar juramento o siete.
Gen.27.46	Gen.27.46-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O hijas de Het
Gen.28.13	Gen.28.13-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O allí junto a él
Gen.29.17	Gen.29.17-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O tenía ojos delicados
Gen.30.3	Gen.30.3-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Literalmente da a luz sobre mis rodillas
Gen.30.11	Gen.30.11-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	Lectura alternativa del TM (véase también LXX); la otra lectura alternativa dice “¡Viene una tropa!”
Gen.31.20	Gen.31.20-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O robó el corazón de; también en los versículos 26 y 27
Gen.32.20	Gen.32.20-fn1	fallback	verse_end	no_high_confidence_immediate_alignment	O aplacaré su rostro
